Test no, Test Name, Learner, Trainer, C_0, C_1, C_2, C_3, C_4, Value selected , Correction , Date, Answering Time (ms), Other Parameters,,,,,,,,,,,,
318, dice, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:16(03.336)],1077, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
319, dice, Lula, Lizandro,6,5,,,,6,true, [2023-09-26 09:16(05.536)],1188, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
320, dice, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:16(07.400)],860, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
321, dice, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:16(09.64)],660, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
322, dice, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:16(11.576)],760, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
323, dice, Lula, Lizandro,2,4,,,,4,true, [2023-09-26 09:16(13.168)],588, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
324, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:16(14.744)],571, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
325, dice, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:16(16.368)],620, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
326, dice, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:16(17.896)],509, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
327, dice, Lula, Lizandro,5,9,,,,9,true, [2023-09-26 09:16(19.456)],555, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
328, dice, Lula, Lizandro,2,9,,,,9,true, [2023-09-26 09:16(21.8)],537, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
329, dice, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:16(22.712)],698, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
330, dice, Lula, Lizandro,1,9,,,,9,true, [2023-09-26 09:16(24.248)],520, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
331, dice, Lula, Lizandro,1,6,,,,6,true, [2023-09-26 09:16(25.760)],496, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
332, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:16(27.760)],576, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
333, dice, Lula, Lizandro,9,2,,,,9,true, [2023-09-26 09:16(29.656)],892, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
334, dice, Lula, Lizandro,2,3,,,,3,true, [2023-09-26 09:16(31.137)],477, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
335, dice, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:16(32.672)],532, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
336, dice, Lula, Lizandro,1,0,,,,1,true, [2023-09-26 09:16(34.256)],580, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
337, dice, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:16(35.856)],596, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
338, dice, Lula, Lizandro,4,6,,,,6,true, [2023-09-26 09:16(38.360)],1496, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
339, dice, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:16(39.953)],588, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
340, dice, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:16(41.520)],563, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
341, dice, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:16(43.56)],533, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
342, dice, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:16(44.808)],632, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
343, dice, Lula, Lizandro,4,9,,,,9,true, [2023-09-26 09:16(46.320)],507, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
344, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:16(47.824)],488, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
345, dice, Lula, Lizandro,9,0,,,,9,true, [2023-09-26 09:16(49.680)],852, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
346, dice, Lula, Lizandro,5,3,,,,5,true, [2023-09-26 09:16(51.233)],546, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
347, dice, Lula, Lizandro,7,9,,,,9,true, [2023-09-26 09:16(53.224)],975, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
348, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:16(54.744)],516, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
349, dice, Lula, Lizandro,7,9,,,,9,true, [2023-09-26 09:16(56.944)],1187, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
350, dice, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:16(58.464)],515, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
351, dice, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:16(59.960)],492, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
352, dice, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:17(01.912)],719, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
353, dice, Lula, Lizandro,7,4,,,,7,true, [2023-09-26 09:17(03.801)],885, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
354, dice, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:17(05.388)],581, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
355, dice, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:17(06.880)],488, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
356, dice, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:17(08.440)],556, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
357, dice, Lula, Lizandro,8,6,,,,8,true, [2023-09-26 09:17(10.265)],813, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
358, dice, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:17(12.112)],843, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
359, dice, Lula, Lizandro,6,4,,,,6,true, [2023-09-26 09:17(13.600)],484, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
360, dice, Lula, Lizandro,1,6,,,,6,true, [2023-09-26 09:17(15.88)],469, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
361, dice, Lula, Lizandro,9,8,,,,9,true, [2023-09-26 09:17(17.72)],981, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
362, dice, Lula, Lizandro,3,8,,,,8,true, [2023-09-26 09:17(18.841)],657, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
363, dice, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:17(20.720)],868, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
364, dice, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:17(22.337)],600, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
365, dice, Lula, Lizandro,5,9,,,,9,true, [2023-09-26 09:17(24.80)],733, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
366, dice, Lula, Lizandro,7,9,,,,9,true, [2023-09-26 09:17(25.881)],797, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
367, dice, Lula, Lizandro,3,8,,,,8,true, [2023-09-26 09:17(27.424)],539, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
368, dice, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:17(29.744)],1316, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
369, dice, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:17(31.704)],955, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
370, dice, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:17(33.400)],689, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
371, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:17(35.145)],738, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
372, dice, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:17(37.88)],783, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
373, dice, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:17(38.728)],634, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
374, dice, Lula, Lizandro,3,8,,,,8,true, [2023-09-26 09:17(40.280)],547, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
375, dice, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:17(42.360)],1061, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
376, dice, Lula, Lizandro,8,7,,,,8,true, [2023-09-26 09:17(44.81)],715, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
377, dice, Lula, Lizandro,2,3,,,,3,true, [2023-09-26 09:17(45.912)],818, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
378, dice, Lula, Lizandro,9,8,,,,9,true, [2023-09-26 09:17(47.584)],667, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
379, dice, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:17(49.137)],547, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
380, dice, Lula, Lizandro,8,7,,,,8,true, [2023-09-26 09:17(51.825)],1676, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
381, dice, Lula, Lizandro,8,5,,,,8,true, [2023-09-26 09:17(53.888)],1059, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
382, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:17(57.497)],887, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
383, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:17(59.233)],732, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
384, flower, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:18(00.889)],652, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
385, flower, Lula, Lizandro,8,4,,,,8,true, [2023-09-26 09:18(02.537)],644, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
386, flower, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:18(04.489)],949, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
387, flower, Lula, Lizandro,0,3,,,,3,true, [2023-09-26 09:18(06.401)],908, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
388, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:18(08.369)],962, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
389, flower, Lula, Lizandro,6,4,,,,6,true, [2023-09-26 09:18(10.377)],1004, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
390, flower, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:18(12.337)],955, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
391, flower, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:18(14.409)],1062, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
392, flower, Lula, Lizandro,4,9,,,,9,true, [2023-09-26 09:18(17.105)],816, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
393, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:18(18.905)],795, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
394, flower, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:18(20.929)],1020, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
395, flower, Lula, Lizandro,3,8,,,,8,true, [2023-09-26 09:18(22.577)],644, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
396, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:18(24.177)],595, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
397, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:18(25.961)],780, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
398, flower, Lula, Lizandro,7,8,,,,7,false, [2023-09-26 09:18(27.641)],675, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
399, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:18(29.465)],817, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
400, flower, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:18(31.249)],780, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
401, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:18(33.81)],812, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
402, flower, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:18(34.881)],688, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
403, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:18(36.681)],795, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
404, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:18(38.425)],740, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
405, flower, Lula, Lizandro,8,4,,,,8,true, [2023-09-26 09:18(40.353)],924, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
406, flower, Lula, Lizandro,3,4,,,,4,true, [2023-09-26 09:18(42.345)],987, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
407, flower, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:18(44.137)],788, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
408, flower, Lula, Lizandro,5,1,,,,5,true, [2023-09-26 09:18(46.17)],876, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
409, flower, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:18(47.665)],635, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
410, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:18(49.537)],868, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
411, flower, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:18(51.401)],850, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
412, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:18(53.353)],904, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
413, flower, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:18(55.113)],756, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
414, flower, Lula, Lizandro,8,9,,,,9,true, [2023-09-26 09:18(57.473)],1356, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
415, flower, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:18(59.121)],644, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
416, flower, Lula, Lizandro,1,0,,,,1,true, [2023-09-26 09:19(01.153)],1023, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
417, flower, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:19(02.905)],748, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
418, flower, Lula, Lizandro,4,3,,,,4,true, [2023-09-26 09:19(04.705)],797, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
419, flower, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:19(06.545)],825, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
420, flower, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:19(08.281)],732, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
421, flower, Lula, Lizandro,9,5,,,,9,true, [2023-09-26 09:19(09.865)],580, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
422, flower, Lula, Lizandro,6,4,,,,6,true, [2023-09-26 09:19(12.8)],991, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
423, flower, Lula, Lizandro,8,9,,,,9,true, [2023-09-26 09:19(13.921)],904, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
424, flower, Lula, Lizandro,8,4,,,,8,true, [2023-09-26 09:19(15.529)],604, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
425, flower, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:19(17.217)],676, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
426, flower, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:19(19.57)],831, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
427, flower, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:19(20.913)],846, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
428, flower, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:19(22.761)],831, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
429, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:19(24.633)],856, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
430, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:19(26.569)],925, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
431, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:19(28.353)],779, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
432, flower, Lula, Lizandro,7,4,,,,7,true, [2023-09-26 09:19(30.593)],616, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
433, flower, Lula, Lizandro,6,2,,,,6,true, [2023-09-26 09:19(32.225)],621, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
434, flower, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:19(33.881)],640, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
435, flower, Lula, Lizandro,9,6,,,,9,true, [2023-09-26 09:19(35.505)],619, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
436, flower, Lula, Lizandro,8,0,,,,8,true, [2023-09-26 09:19(37.177)],663, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
437, flower, Lula, Lizandro,3,0,,,,3,true, [2023-09-26 09:19(38.801)],619, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
438, flower, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:19(40.441)],626, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
439, flower, Lula, Lizandro,8,3,,,,8,true, [2023-09-26 09:19(41.985)],525, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
440, flower, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:19(43.961)],970, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
441, flower, Lula, Lizandro,1,6,,,,6,true, [2023-09-26 09:19(45.681)],715, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
442, flower, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:19(48.1)],1056, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
443, flower, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:19(49.713)],698, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
444, flower, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:19(51.305)],581, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
445, flower, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:19(53.361)],1045, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
446, flower, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:19(55.33)],666, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
447, flower, Lula, Lizandro,9,2,,,,9,true, [2023-09-26 09:19(56.681)],631, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
448, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:19(58.417)],728, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
449, flower, Lula, Lizandro,4,3,,,,4,true, [2023-09-26 09:20(00.233)],811, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
450, flower, Lula, Lizandro,8,9,,,,9,true, [2023-09-26 09:20(02.609)],1372, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
451, flower, Lula, Lizandro,8,3,,,,8,true, [2023-09-26 09:20(04.105)],492, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
452, flower, Lula, Lizandro,1,7,,,,7,true, [2023-09-26 09:20(05.801)],512, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
453, flower, Lula, Lizandro,1,4,,,,4,true, [2023-09-26 09:20(07.513)],700, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
454, flower, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:20(09.145)],627, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
455, flower, Lula, Lizandro,7,4,,,,7,true, [2023-09-26 09:20(10.945)],796, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
456, flower, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:20(12.961)],999, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
457, flower, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:20(15.513)],1545, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
458, flower, Lula, Lizandro,7,8,,,,8,true, [2023-09-26 09:20(17.633)],1112, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
459, flower, Lula, Lizandro,0,9,,,,9,true, [2023-09-26 09:20(19.377)],739, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
460, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:20(21.217)],836, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
461, flower, Lula, Lizandro,8,4,,,,8,true, [2023-09-26 09:20(23.105)],874, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
462, flower, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:20(25.425)],920, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
463, flower, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:20(27.897)],1467, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
464, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:20(29.865)],963, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
465, flower, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:20(31.433)],564, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
466, flower, Lula, Lizandro,1,9,,,,9,true, [2023-09-26 09:20(33.129)],676, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
467, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:20(34.825)],676, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
468, flower, Lula, Lizandro,8,7,,,,8,true, [2023-09-26 09:20(36.609)],780, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
469, flower, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:20(38.257)],635, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
470, flower, Lula, Lizandro,6,9,,,,9,true, [2023-09-26 09:20(40.25)],754, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
471, flower, Lula, Lizandro,6,2,,,,6,true, [2023-09-26 09:20(41.625)],591, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
472, flower, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:20(43.457)],608, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
473, flower, Lula, Lizandro,6,2,,,,6,true, [2023-09-26 09:20(45.329)],866, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
474, flower, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:20(46.977)],641, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
475, flower, Lula, Lizandro,9,8,,,,9,true, [2023-09-26 09:20(48.737)],750, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
476, flower, Lula, Lizandro,9,5,,,,9,true, [2023-09-26 09:20(50.649)],892, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
